Index,N.coordinate,W.coordinate,Zone,Date,CA.sage,Yerba.santa,Buckwheat,Deerweed,Showy.penstemon,White.sage,Bluewitch.nightshade,Poison.oak
1,34.10804,117.70809,East,4/1/22,0,0,0,0,0,0,0,0
2,34.1076,117.70856,East,4/1/22,11,21,2,1,0,0,0,0
3,34.10759,117.71078,West,4/1/22,1,6,3,0,2,0,0,0
4,34.10761,117.71095,West,4/6/22,0,3,2,0,0,0,0,0
5,34.10772,117.7109,West,4/6/22,0,4,0,1,0,0,0,0
6,34.10776,117.70886,East,4/6/22,0,17,0,0,4,1,4,0
7,34.10787,117.70871,East,4/8/22,0,24,0,0,0,0,1,0
8,34.10789,117.70886,East,4/8/22,1,20,0,0,0,0,0,0
9,34.1077,117.71125,West,4/8/22,0,1,0,0,0,1,0,0
10,34.10777,117.71117,West,4/8/22,0,21,0,0,0,0,0,0
11,34.10788,117.71107,West,4/8/22,9,16,0,0,0,0,3,0
12,34.10794,117.711,West,4/11/22,4,2,0,0,2,0,2,4
13,34.1079,117.71063,West,4/11/22,2,16,0,0,1,0,1,0
14,34.10807,117.70831,East,4/11/22,0,0,0,0,0,0,0,0
15,34.10791,117.7086,East,4/11/22,1,8,0,0,0,0,0,0
16,34.10791,117.70851,East,4/11/22,0,13,0,0,0,0,0,0
17,34.10806,117.7112,West,4/13/22,2,17,0,0,0,1,1,0
18,34.10799,117.70895,East,4/13/22,2,2,1,0,0,0,0,0
19,34.10801,117.70876,East,4/13/22,1,8,0,0,0,0,0,0
20,34.10786,117.71086,West,4/14/22,2,5,0,0,0,0,8,5